model,Params_M,FLOPs_G,Train_h,Infer_ms,MSE,MAE,PSNR,SSIM,L1-Grad,LPIPS
ConvNeXtKaggle,53.7973,334.123,12.6068,261.742,13530.0,86.86,25.36,0.9794,8.826,0.02011
FuteFWI,44.3837,38.4315,6.5431,73.0822,13780.0,86.55,25.28,0.9789,9.995,0.02047
InversionNet,15.103,18.4329,3.0817,18.4622,14000.0,88.53,25.21,0.9789,8.898,0.02067
VelocityGAN,15.1207,11.6802,3.6219,13.9887,16050.0,90.77,24.62,0.9755,12.35,0.02371
DCNet,20.4461,19.5674,2.9342,23.2265,14720.0,91.2,24.99,0.9779,8.897,0.02179
DDNet70,10.5432,27.4609,1.6936,13.6435,19190.0,100.3,23.84,0.9705,11.19,0.02901
TU_Net,10.1912,77.7302,6.0653,50.0239,13880.0,88.5,25.25,0.9789,8.945,0.02087
ABA_FWI,31.2012,641.749,7.8564,294.923,27520.0,122.3,22.28,0.957,10.3,0.04243
FCNVMB,31.0447,637.16,22.1031,228.392,29700.0,128.3,21.95,0.9536,12.33,0.04538
VIFNet,96.3208,4258.95,16.2104,1710.8,12410.0,83.25,25.74,0.9814,8.729,0.01792
